date	title	category	url	post_text
2022-07-28 09:15:00+00:00	Our support for the Economic Opportunity Coalition	Public Policy	https://blog.google/outreach-initiatives/public-policy/our-support-for-the-economic-opportunity-coalition/	
2022-07-27 15:30:00+00:00	Our new office is a love letter to Atlanta	Company announcements	https://blog.google/inside-google/company-announcements/atlanta-office/	
2022-07-19 23:00:00+00:00	Transparency in the shadowy world of cyberattacks	Public Policy	https://blog.google/outreach-initiatives/public-policy/transparency-in-the-shadowy-world-of-cyberattacks/	
2022-07-18 13:00:00+00:00	Google and the Global Cross Border Privacy Rules	Public Policy	https://blog.google/outreach-initiatives/public-policy/google-and-the-global-cross-border-privacy-rules/	
2022-06-30 23:55:00+00:00	Google and U.S. developers find agreement over Google Play store	Public Policy	https://blog.google/outreach-initiatives/public-policy/google-and-us-developers-find-agreement-over-google-play-store/	
2022-06-24 07:00:00+00:00	How tech can support transformational growth in Africa		https://blog.google/around-the-globe/google-africa/supporting-growth-in-africa/	
2022-06-23 21:00:00+00:00	It’s time for more transparency around government data demands	Public Policy	https://blog.google/outreach-initiatives/public-policy/its-time-for-more-transparency-around-government-data-demands/	
2022-06-10 11:00:00+00:00	Google at the Copenhagen Democracy Summit	Public Policy	https://blog.google/outreach-initiatives/public-policy/google-at-the-copenhagen-democracy-summit/	
2022-06-07 09:30:00+00:00	How Congress’ anti-tech bill undermines security	Public Policy	https://blog.google/outreach-initiatives/public-policy/how-congress-anti-tech-bill-undermines-security/	
2022-06-03 07:00:00+00:00	Advancing security across Central and Eastern Europe	Safety & Security	https://blog.google/technology/safety-security/advancing-security-across-central-and-eastern-europe/	
2022-05-23 09:00:00+00:00	A framework for Asia-Pacific’s digital growth	Public Policy	https://blog.google/outreach-initiatives/public-policy/a-framework-for-asias-digital-growth/	
2022-05-20 23:59:00+00:00	The facts about the temporary Match Group agreement	Public Policy	https://blog.google/outreach-initiatives/public-policy/the-facts-about-the-temporary-match-group-agreement/	
2022-05-17 10:45:00+00:00	Building a secure world	Safety & Security	https://blog.google/technology/safety-security/building-a-secure-world/	
2022-05-09 19:37:00+00:00	Setting the Record Straight on Match Group’s Cynical Campaign Against Google Play	Public Policy	https://blog.google/outreach-initiatives/public-policy/setting-the-record-straight-on-match-groups-cynical-campaign-against-google-play/	
2022-04-28 12:00:00+00:00	Coming together to protect the global internet	Public Policy	https://blog.google/outreach-initiatives/public-policy/coming-together-to-protect-the-global-internet/	
2022-04-28 10:00:00+00:00	Reforming the patent system to support American innovation	Public Policy	https://blog.google/outreach-initiatives/public-policy/reforming-the-patent-system-to-support-american-innovation/	
2022-04-25 16:30:00+00:00	The urgent necessity of enacting a national privacy law	Public Policy	https://blog.google/outreach-initiatives/public-policy/the-urgent-necessity-of-enacting-a-national-privacy-law/	
2022-03-28 20:00:00+00:00	The Trans-Atlantic Data Privacy Framework: Building for the long term	Public Policy	https://blog.google/outreach-initiatives/public-policy/trans-atlantic-data-privacy-framework-building-long-term/	
2022-03-09 18:00:00+00:00	Building data portability to help consumers choose	Public Policy	https://blog.google/outreach-initiatives/public-policy/building-data-portability-help-consumers-choose/	
2022-02-17 11:00:00+00:00	Google at the Munich Security Conference	Public Policy	https://blog.google/outreach-initiatives/public-policy/google-munich-security-conference/	
2022-02-11 07:00:00+00:00	The path forward with the Privacy Sandbox	Google in Europe	https://blog.google/around-the-globe/google-europe/path-forward-privacy-sandbox/	
2022-01-25 21:45:00+00:00	How Google puts you in control of your location data	Public Policy	https://blog.google/outreach-initiatives/public-policy/how-google-puts-you-control-your-location-data/	
2022-01-21 17:00:00+00:00	AG Paxton’s false claims still don’t add up	Public Policy	https://blog.google/outreach-initiatives/public-policy/ag-paxtons-false-claims-still-dont-add-up/	
2022-01-18 20:00:00+00:00	The harmful consequences of Congress’s anti-tech bills	Public Policy	https://blog.google/outreach-initiatives/public-policy/the-harmful-consequences-of-congresss-anti-tech-bills/	
2022-01-13 18:45:00+00:00	Making Open Source software safer and more secure	Safety & Security	https://blog.google/technology/safety-security/making-open-source-software-safer-and-more-secure/	
2021-12-10 22:00:00+00:00	How to sustain a safe, thriving app and game ecosystem	Public Policy	https://blog.google/outreach-initiatives/public-policy/how-sustain-safe-thriving-app-and-game-ecosystem/	
2021-11-11 14:30:00+00:00	Welcoming US-EU collaboration on cybersecurity	Public Policy	https://blog.google/outreach-initiatives/public-policy/welcoming-us-eu-collaboration-cybersecurity/	
2021-10-26 13:00:00+00:00	Bringing COP26 to people everywhere	Sustainability	https://blog.google/outreach-initiatives/sustainability/google-cop26-2021/	
2021-10-21 16:30:00+00:00	Our Content Removal Transparency Report for January to June 2021	Public Policy	https://blog.google/outreach-initiatives/public-policy/our-content-removal-transparency-report-january-june-2021/	
2021-10-20 18:30:00+00:00	We support comprehensive climate and clean energy policy	Public Policy	https://blog.google/outreach-initiatives/public-policy/we-support-comprehensive-climate-and-clean-energy-policy/	
2021-09-28 10:00:00+00:00	Strengthening the transatlantic digital space	Public Policy	https://blog.google/outreach-initiatives/public-policy/strengthening-transatlantic-digital-space/	
2021-09-20 13:30:00+00:00	A digital fast lane for emerging economies	Public Policy	https://blog.google/outreach-initiatives/public-policy/digital-fast-lane-emerging-economies/	
2021-09-17 13:00:00+00:00	Google at the UN General Assembly	Public Policy	https://blog.google/outreach-initiatives/public-policy/google-un-general-assembly/	
2021-09-09 17:30:00+00:00	Collaborating with the UN to accelerate crisis response	Public Policy	https://blog.google/outreach-initiatives/public-policy/collaborating-un-accelerate-crisis-response/	
2021-08-25 21:30:00+00:00	Why we’re committing $10 billion to advance cybersecurity	Safety & Security	https://blog.google/technology/safety-security/why-were-committing-10-billion-to-advance-cybersecurity/	
2021-07-07 02:02:00+00:00	A lawsuit that ignores choice on Android and Google Play	Public Policy	https://blog.google/outreach-initiatives/public-policy/lawsuit-ignores-choice-android-and-google-play/	
2021-06-29 10:00:00+00:00	Connecting people to food support in their community	Public Policy	https://blog.google/outreach-initiatives/public-policy/connecting-people-to-food-support/	
2021-05-26 10:00:00+00:00	Tracking data to advance health equity	Google.org	https://blog.google/outreach-initiatives/google-org/health-equity-tracker/	
2021-05-20 09:30:00+00:00	Technology can strengthen the U.S.-Korea alliance	Public Policy	https://blog.google/outreach-initiatives/public-policy/technology-can-strengthen-us-korea-alliance/	
2021-05-14 10:00:00+00:00	Why we're rallying support for immigration rights	Public Policy	https://blog.google/outreach-initiatives/public-policy/why-were-rallying-support-immigration-rights/	
2021-04-26 14:00:00+00:00	Google’s partnerships with international organizations	Public Policy	https://blog.google/outreach-initiatives/public-policy/googles-partnerships-with-international-organizations/	
2021-04-23 09:00:00+00:00	Seizing the moment - A framework for American innovation	Public Policy	https://blog.google/outreach-initiatives/public-policy/seizing-moment-framework-american-innovation/	
2021-04-09 09:55:00+00:00	The U.S. and Europe should launch a trade and technology council	Public Policy	https://blog.google/outreach-initiatives/public-policy/us-europe-technology-trade-council/	
2021-03-31 06:00:00+00:00	Google's €25 million contribution to media literacy	Google in Europe	https://blog.google/around-the-globe/google-europe/googles-25-million-contribution-to-media-literacy/	
2021-03-25 16:00:00+00:00	Sundar Pichai’s testimony before the U.S. House Committee on Energy & Commerce	Public Policy	https://blog.google/outreach-initiatives/public-policy/sundar-pichais-testimony-before-the-us-house-committee-on-energy-commerce/	
2021-03-16 16:46:00+00:00	The 2012 FTC staff papers	Public Policy	https://blog.google/outreach-initiatives/public-policy/2012-ftc-staff-papers/	
2021-02-25 14:00:00+00:00	Let’s finalize an international tax deal	Public Policy	https://blog.google/outreach-initiatives/public-policy/lets-finalize-an-international-tax-deal/	
2021-01-27 15:00:00+00:00	GSEC Dublin: A content responsibility center for Europe	Google in Europe	https://blog.google/around-the-globe/google-europe/gsec-dublin-content-responsibility-center-europe/	
2021-01-17 16:00:00+00:00	AG Paxton’s misleading attack on our ad tech business	Public Policy	https://blog.google/outreach-initiatives/public-policy/ag-paxtons-misleading-attack-on-our-ad-tech-business/	
