,date,title,topic,author,path,categories,children,gender_violence,hate_speech,health_disinfo,political_disinfo,safety
71,"Wednesday, 1 December 2021",Our new search prompt to help people find credible information about HIV,Company,Kathleen Reen,https://blog.twitter.com/en_us/topics/company/2021/our-new-search-prompt-to-help-people-find-credible-information-about-hiv,"['children', 'health_disinfo', 'safety']",0,0,0,1,0,0
71,"Wednesday, 1 December 2021",Our new search prompt to help people find credible information about HIV,Company,Kathleen Reen,https://blog.twitter.com/en_us/topics/company/2021/our-new-search-prompt-to-help-people-find-credible-information-about-hiv,"['children', 'health_disinfo', 'safety']",0,0,0,0,0,1
72,"Tuesday, 30 November 2021",The evolution of social intelligence: Q&A with Dr. Jillian Ney,Insights,Joe Rice,https://blog.twitter.com/en_us/topics/insights/2021/the-evolution-of-social-intelligence,[],0,0,0,0,0,0
73,"Tuesday, 30 November 2021",Expanding our private information policy to include media,Company,,https://blog.twitter.com/en_us/topics/company/2021/private-information-policy-update,['safety'],0,0,0,0,0,1
74,"Monday, 22 November 2021","Watch, chat, shop: Live Shopping on Twitter",Product,Justin Hoang,https://blog.twitter.com/en_us/topics/product/2021/watch--chat--shop--live-shopping-on-twitter,[],0,0,0,0,0,0
75,"Wednesday, 17 November 2021",Our work to protect the integrity of the conversation in Ethiopia,Company,,https://blog.twitter.com/en_us/topics/company/2021/our-work-to-protect-the-safety-and-integrity-of-the-conversation,"['hate_speech', 'political_disinfo', 'safety']",0,0,1,0,0,0
75,"Wednesday, 17 November 2021",Our work to protect the integrity of the conversation in Ethiopia,Company,,https://blog.twitter.com/en_us/topics/company/2021/our-work-to-protect-the-safety-and-integrity-of-the-conversation,"['hate_speech', 'political_disinfo', 'safety']",0,0,0,0,1,0
75,"Wednesday, 17 November 2021",Our work to protect the integrity of the conversation in Ethiopia,Company,,https://blog.twitter.com/en_us/topics/company/2021/our-work-to-protect-the-safety-and-integrity-of-the-conversation,"['hate_speech', 'political_disinfo', 'safety']",0,0,0,0,0,1
76,"Wednesday, 10 November 2021",Our continued work to protect your privacy and security,Company,Damien Kieran ,https://blog.twitter.com/en_us/topics/company/2021/our-continued-work-to-protect-your-privacy-and-security,['safety'],0,0,0,0,0,1
77,"Tuesday, 9 November 2021","Twitter smarter, Twitter harder with Twitter Blue",Product,Sara Beykpour,https://blog.twitter.com/en_us/topics/product/2021/twitter-smarter--twitter-harder-with-twitter-blue,[],0,0,0,0,0,0
78,"Monday, 1 November 2021",#COP26 is happening on Twitter,Company,X,https://blog.twitter.com/en_us/topics/company/2021/-cop26-is-happening-on-twitter,[],0,0,0,0,0,0
79,"Wednesday, 28 July 2021",Twitter Shopping: Testing the Shop Spotlight,Product,Bruce Falck,https://blog.twitter.com/en_us/topics/product/2021/twitter-shopping--testing-shoppable-profiles-on-twitter,[],0,0,0,0,0,0
80,"Wednesday, 21 July 2021",Twitter and the MRC: Brand Safety Accreditation Agreement,Product,Jonathan Lewis,https://blog.twitter.com/en_us/topics/product/2021/twitter-and-the-mrc--brand-safety-accreditation-agreement,['safety'],0,0,0,0,0,1
81,"Wednesday, 21 July 2021",Enjoy top content and conversation from the Games on Twitter ,Events,Jay Bavishi,https://blog.twitter.com/en_us/topics/events/2020/enjoy-top-content-and-conversation-from-the-games-on-twitter-,[],0,0,0,0,0,0
82,"Thursday, 15 July 2021",Inclusion & Diversity Report July 2021: Cultivating Inclusion,Company,Dalana Brand,https://blog.twitter.com/en_us/topics/company/2021/inclusion-and-diversity-report-cultivating-inclusion-july-2021,"['hate_speech', 'health_disinfo']",0,0,1,0,0,0
82,"Thursday, 15 July 2021",Inclusion & Diversity Report July 2021: Cultivating Inclusion,Company,Dalana Brand,https://blog.twitter.com/en_us/topics/company/2021/inclusion-and-diversity-report-cultivating-inclusion-july-2021,"['hate_speech', 'health_disinfo']",0,0,0,1,0,0
83,"Wednesday, 14 July 2021","Goodbye, Fleets",Product,Ilya Brown,https://blog.twitter.com/en_us/topics/product/2021/goodbye-fleets,[],0,0,0,0,0,0
84,"Wednesday, 14 July 2021",An update to the Twitter Transparency Center,Company,X,https://blog.twitter.com/en_us/topics/company/2021/an-update-to-the-twitter-transparency-center,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0,0
84,"Wednesday, 14 July 2021",An update to the Twitter Transparency Center,Company,X,https://blog.twitter.com/en_us/topics/company/2021/an-update-to-the-twitter-transparency-center,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
84,"Wednesday, 14 July 2021",An update to the Twitter Transparency Center,Company,X,https://blog.twitter.com/en_us/topics/company/2021/an-update-to-the-twitter-transparency-center,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
84,"Wednesday, 14 July 2021",An update to the Twitter Transparency Center,Company,X,https://blog.twitter.com/en_us/topics/company/2021/an-update-to-the-twitter-transparency-center,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
85,"Wednesday, 30 June 2021",Stronger security for your Twitter account,Product,Andy Sayler,https://blog.twitter.com/en_us/topics/product/2020/stronger-security-for-your-twitter-account,['safety'],0,0,0,0,0,1
86,"Monday, 28 June 2021",Listening to the real voice of the customer on Twitter,Insights,Joe Rice,https://blog.twitter.com/en_us/topics/insights/2021/how-to-hear-the-real-voice-of-the-customer,[],0,0,0,0,0,0
87,"Wednesday, 23 June 2021",Digital Services Act: Defending the Open Internet,Company,Twitter Public Policy,https://blog.twitter.com/en_us/topics/company/2021/the-digital-services-act--defending-the-digital-single-market,['health_disinfo'],0,0,0,1,0,0
88,"Monday, 21 June 2021",Twitter gaming and esports insights for the first half of 2021,Insights,Rishi Chadha,https://blog.twitter.com/en_us/topics/insights/2021/twitter-gaming-and-esports-insights-for-the-first-half-of-2021,[],0,0,0,0,0,0
89,"Tuesday, 15 June 2021","A new Arabic language setting, from غرّد to غرّدي ",Product,Carla El Maalouli,https://blog.twitter.com/en_us/topics/product/2021/a-new-arabic-language-setting,[],0,0,0,0,0,0
90,"Thursday, 3 June 2021",Introducing Twitter Blue - Twitter’s first-ever subscription offering ,Company,Sara Beykpour,https://blog.twitter.com/en_us/topics/company/2021/introducing-twitter-blue,['safety'],0,0,0,0,0,1
91,"Thursday, 3 June 2021",Elevating credible climate change information this World Environment Day,Company,Seán Boyle,https://blog.twitter.com/en_us/topics/company/2021/elevating-credible-climate-change-information-this-world-environ,[],0,0,0,0,0,0
92,"Thursday, 20 May 2021",Relaunching verification and what’s next,Company,X,https://blog.twitter.com/en_us/topics/company/2021/relaunching-verification-and-whats-next,"['health_disinfo', 'safety']",0,0,0,1,0,0
92,"Thursday, 20 May 2021",Relaunching verification and what’s next,Company,X,https://blog.twitter.com/en_us/topics/company/2021/relaunching-verification-and-whats-next,"['health_disinfo', 'safety']",0,0,0,0,0,1
93,"Monday, 17 May 2021",How British Telecom is leveraging Twitter data,Insights,Joe Rice,https://blog.twitter.com/en_us/topics/insights/2021/how-british-telecom-is-leveraging-social-data-qa-with-british-telecom,[],0,0,0,0,0,0
94,"Thursday, 6 May 2021",Introducing Tips,Product,Esther Crawford,https://blog.twitter.com/en_us/topics/product/2021/introducing-tips,[],0,0,0,0,0,0
95,"Wednesday, 5 May 2021",Tweeting with consideration,Product,Anita Butler,https://blog.twitter.com/en_us/topics/product/2021/tweeting-with-consideration,"['hate_speech', 'health_disinfo']",0,0,1,0,0,0
95,"Wednesday, 5 May 2021",Tweeting with consideration,Product,Anita Butler,https://blog.twitter.com/en_us/topics/product/2021/tweeting-with-consideration,"['hate_speech', 'health_disinfo']",0,0,0,1,0,0
96,"Tuesday, 4 May 2021","Introducing I Wish I Knew, a @TwitterResearch podcast",Company,Nikkia Reveillac,https://blog.twitter.com/en_us/topics/company/2021/i-wish-i-knew-podcast,['safety'],0,0,0,0,0,1
97,"Tuesday, 4 May 2021",A better way to publish and read on Twitter,Company,Mike Park,https://blog.twitter.com/en_us/topics/company/2021/a-better-way-to-publish-and-read-on-twitter,['safety'],0,0,0,0,0,1
98,"Monday, 3 May 2021",Making Spaces accessible,Company,Amber James,https://blog.twitter.com/en_us/topics/company/2021/making-spaces-accessible,['safety'],0,0,0,0,0,1
99,"Monday, 3 May 2021","Spaces is here, let’s chat",Product,Twitter Spaces,https://blog.twitter.com/en_us/topics/product/2021/spaces-is-here,"['hate_speech', 'safety']",0,0,1,0,0,0
99,"Monday, 3 May 2021","Spaces is here, let’s chat",Product,Twitter Spaces,https://blog.twitter.com/en_us/topics/product/2021/spaces-is-here,"['hate_speech', 'safety']",0,0,0,0,0,1
100,"Monday, 3 May 2021",Supporting local journalists on #WorldPressFreedomDay,Company,Twitter News,https://blog.twitter.com/en_us/topics/company/2021/wpfd-2021,"['health_disinfo', 'safety']",0,0,0,1,0,0
100,"Monday, 3 May 2021",Supporting local journalists on #WorldPressFreedomDay,Company,Twitter News,https://blog.twitter.com/en_us/topics/company/2021/wpfd-2021,"['health_disinfo', 'safety']",0,0,0,0,0,1
101,"Wednesday, 14 April 2021",Introducing our Responsible Machine Learning Initiative  ,Company,Jutta Williams,https://blog.twitter.com/en_us/topics/company/2021/introducing-responsible-machine-learning-initiative,['safety'],0,0,0,0,0,1
102,"Monday, 12 April 2021",Establishing Twitter's presence in Africa,Company,Kayvon Beykpour,https://blog.twitter.com/en_us/topics/company/2021/establishing-twitter-s-presence-in-africa,['safety'],0,0,0,0,0,1
103,"Saturday, 10 April 2021",5 alternative food trends to add to your plate,Insights,Leia Reid,https://blog.twitter.com/en_us/topics/insights/2021/5-alternative-food-trends-to-add-to-your-plate,['health_disinfo'],0,0,0,1,0,0
104,"Wednesday, 7 April 2021",Introducing Twitter’s Global Impact Report,Company,X,https://blog.twitter.com/en_us/topics/company/2021/introducing-twitters-global-impact-report,"['health_disinfo', 'safety']",0,0,0,1,0,0
104,"Wednesday, 7 April 2021",Introducing Twitter’s Global Impact Report,Company,X,https://blog.twitter.com/en_us/topics/company/2021/introducing-twitters-global-impact-report,"['health_disinfo', 'safety']",0,0,0,0,0,1
105,"Wednesday, 31 March 2021","Survey fatigue is real, insight from Twitter can help",Insights,Joe Rice,https://blog.twitter.com/en_us/topics/insights/2021/survey-fatigue-is-real-insight-from-twitter-can-help,[],0,0,0,0,0,0
106,"Friday, 19 March 2021",An update on Twitter in Turkey,Company,Twitter Public Policy,https://blog.twitter.com/en_us/topics/company/2021/update-twitter-turkey,['safety'],0,0,0,0,0,1
107,"Thursday, 18 March 2021",Calling for public input on our approach to world leaders,Company,,https://blog.twitter.com/en_us/topics/company/2021/calling-for-public-input-on-our-approach-to-world-leaders,['health_disinfo'],0,0,0,1,0,0
108,"Tuesday, 9 March 2021",Advancing our efforts to make Twitter a safer place for advertisers,Product,AJ Brown,https://blog.twitter.com/en_us/topics/product/2021/advancing-our-products-and-partnerships-to-make-twitter-a-safer-,['safety'],0,0,0,0,0,1
109,"Monday, 1 March 2021", Updates to our work on COVID-19 vaccine misinformation ,Company,,https://blog.twitter.com/en_us/topics/company/2021/updates-to-our-work-on-covid-19-vaccine-misinformation,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
109,"Monday, 1 March 2021", Updates to our work on COVID-19 vaccine misinformation ,Company,,https://blog.twitter.com/en_us/topics/company/2021/updates-to-our-work-on-covid-19-vaccine-misinformation,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
109,"Monday, 1 March 2021", Updates to our work on COVID-19 vaccine misinformation ,Company,,https://blog.twitter.com/en_us/topics/company/2021/updates-to-our-work-on-covid-19-vaccine-misinformation,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
110,"Tuesday, 23 February 2021",Disclosing networks of state-linked information operations ,Company,,https://blog.twitter.com/en_us/topics/company/2021/disclosing-networks-of-state-linked-information-operations-,"['political_disinfo', 'safety']",0,0,0,0,1,0
110,"Tuesday, 23 February 2021",Disclosing networks of state-linked information operations ,Company,,https://blog.twitter.com/en_us/topics/company/2021/disclosing-networks-of-state-linked-information-operations-,"['political_disinfo', 'safety']",0,0,0,0,0,1
111,"Wednesday, 17 February 2021",Allyship right now: #StandForAsians,Company,Marium R. Qureshi,https://blog.twitter.com/en_us/topics/company/2021/allyship-right-now-stand-for-asians,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0,0
111,"Wednesday, 17 February 2021",Allyship right now: #StandForAsians,Company,Marium R. Qureshi,https://blog.twitter.com/en_us/topics/company/2021/allyship-right-now-stand-for-asians,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
111,"Wednesday, 17 February 2021",Allyship right now: #StandForAsians,Company,Marium R. Qureshi,https://blog.twitter.com/en_us/topics/company/2021/allyship-right-now-stand-for-asians,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
111,"Wednesday, 17 February 2021",Allyship right now: #StandForAsians,Company,Marium R. Qureshi,https://blog.twitter.com/en_us/topics/company/2021/allyship-right-now-stand-for-asians,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
112,"Thursday, 11 February 2021",Expanding our work to identify state-affiliated accounts,Company,Twitter Support,https://blog.twitter.com/en_us/topics/company/2021/account-labels-phase2,['safety'],0,0,0,0,0,1
113,"Tuesday, 9 February 2021",#SaferInternetDay 2021: Together for a better Internet,Company,Camino Rojo ,https://blog.twitter.com/en_us/topics/company/2021/saferinternetday2021togetherforabetterinternet,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
113,"Tuesday, 9 February 2021",#SaferInternetDay 2021: Together for a better Internet,Company,Camino Rojo ,https://blog.twitter.com/en_us/topics/company/2021/saferinternetday2021togetherforabetterinternet,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
113,"Tuesday, 9 February 2021",#SaferInternetDay 2021: Together for a better Internet,Company,Camino Rojo ,https://blog.twitter.com/en_us/topics/company/2021/saferinternetday2021togetherforabetterinternet,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
114,"Monday, 8 February 2021",Super Bowl LV on Twitter!,Events,,https://blog.twitter.com/en_us/topics/events/2020/super-bowl-lv-on-twitter-,[],0,0,0,0,0,0
115,"Monday, 8 February 2021","Listen here SMBs, you can't afford not to",Insights,Joe Rice,https://blog.twitter.com/en_us/topics/insights/2021/listen-here-smbs--you-can-t-afford-not-to,[],0,0,0,0,0,0
116,"Thursday, 4 February 2021",#KpopTwitter achieves new record of 6.7 billion Tweets globally in 2020,Insights,YeonJeong Kim,https://blog.twitter.com/en_us/topics/insights/2021/kpoptwitter-achieves-new-record-of-6-billion-tweets-globally-in-2020,[],0,0,0,0,0,0
117,"Friday, 29 January 2021","Imperfect, by design",Company,Donna Lamar,https://blog.twitter.com/en_us/topics/company/2021/imperfect-by-design,['safety'],0,0,0,0,0,1
118,"Tuesday, 26 January 2021",Making Twitter a better home for writers,Company,Kayvon Beykpour,https://blog.twitter.com/en_us/topics/company/2021/making-twitter-a-better-home-for-writers,['safety'],0,0,0,0,0,1
119,"Monday, 25 January 2021","Introducing Birdwatch, a community-based approach to misinformation",Product,Keith Coleman,https://blog.twitter.com/en_us/topics/product/2021/introducing-birdwatch-a-community-based-approach-to-misinformation,"['health_disinfo', 'political_disinfo']",0,0,0,1,0,0
119,"Monday, 25 January 2021","Introducing Birdwatch, a community-based approach to misinformation",Product,Keith Coleman,https://blog.twitter.com/en_us/topics/product/2021/introducing-birdwatch-a-community-based-approach-to-misinformation,"['health_disinfo', 'political_disinfo']",0,0,0,0,1,0
120,"Thursday, 14 January 2021",What to expect on Twitter on US Inauguration Day 2021,Company,,https://blog.twitter.com/en_us/topics/company/2021/inauguration-2021,"['political_disinfo', 'safety']",0,0,0,0,1,0
120,"Thursday, 14 January 2021",What to expect on Twitter on US Inauguration Day 2021,Company,,https://blog.twitter.com/en_us/topics/company/2021/inauguration-2021,"['political_disinfo', 'safety']",0,0,0,0,0,1
121,"Tuesday, 12 January 2021",Coronavirus: Staying safe and informed on Twitter,Company,X,https://blog.twitter.com/en_us/topics/company/2020/covid-19,"['hate_speech', 'children', 'health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0,0
121,"Tuesday, 12 January 2021",Coronavirus: Staying safe and informed on Twitter,Company,X,https://blog.twitter.com/en_us/topics/company/2020/covid-19,"['hate_speech', 'children', 'health_disinfo', 'political_disinfo', 'safety']",1,0,0,0,0,0
121,"Tuesday, 12 January 2021",Coronavirus: Staying safe and informed on Twitter,Company,X,https://blog.twitter.com/en_us/topics/company/2020/covid-19,"['hate_speech', 'children', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
121,"Tuesday, 12 January 2021",Coronavirus: Staying safe and informed on Twitter,Company,X,https://blog.twitter.com/en_us/topics/company/2020/covid-19,"['hate_speech', 'children', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
121,"Tuesday, 12 January 2021",Coronavirus: Staying safe and informed on Twitter,Company,X,https://blog.twitter.com/en_us/topics/company/2020/covid-19,"['hate_speech', 'children', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
122,"Tuesday, 12 January 2021","An update following the riots in Washington, DC",Company,X Safety,https://blog.twitter.com/en_us/topics/company/2021/protecting--the-conversation-following-the-riots-in-washington--,"['health_disinfo', 'safety']",0,0,0,1,0,0
122,"Tuesday, 12 January 2021","An update following the riots in Washington, DC",Company,X Safety,https://blog.twitter.com/en_us/topics/company/2021/protecting--the-conversation-following-the-riots-in-washington--,"['health_disinfo', 'safety']",0,0,0,0,0,1
123,"Monday, 11 January 2021",Insights from the 17th Twitter Transparency Report,Company,X,https://blog.twitter.com/en_us/topics/company/2020/ttr-17,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
123,"Monday, 11 January 2021",Insights from the 17th Twitter Transparency Report,Company,X,https://blog.twitter.com/en_us/topics/company/2020/ttr-17,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
123,"Monday, 11 January 2021",Insights from the 17th Twitter Transparency Report,Company,X,https://blog.twitter.com/en_us/topics/company/2020/ttr-17,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
124,"Monday, 11 January 2021",Over 2 Billion Gaming Tweets in 2020!,Insights,,https://blog.twitter.com/en_us/topics/insights/2021/over-2-billion-gaming-tweets-in-2020-,[],0,0,0,0,0,0
125,"Friday, 8 January 2021",Permanent suspension of @realDonaldTrump,Company,X,https://blog.twitter.com/en_us/topics/company/2020/suspension,['safety'],0,0,0,0,0,1
126,"Friday, 18 December 2020",Looking ahead to 2021: Twitter Data Partners weigh in,Insights,,https://blog.twitter.com/en_us/topics/insights/2021/looking-ahead-to-2021-twitter-data-partners-weigh-in,[],0,0,0,0,0,0
127,"Thursday, 17 December 2020",Our plans to relaunch verification and what’s next,Company,X,https://blog.twitter.com/en_us/topics/company/2020/our-plans-to-relaunch-verification-and-whats-next,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
127,"Thursday, 17 December 2020",Our plans to relaunch verification and what’s next,Company,X,https://blog.twitter.com/en_us/topics/company/2020/our-plans-to-relaunch-verification-and-whats-next,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
127,"Thursday, 17 December 2020",Our plans to relaunch verification and what’s next,Company,X,https://blog.twitter.com/en_us/topics/company/2020/our-plans-to-relaunch-verification-and-whats-next,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
128,"Wednesday, 16 December 2020",COVID-19: Our approach to misleading vaccine information,Company,,https://blog.twitter.com/en_us/topics/company/2020/covid19-vaccine,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
128,"Wednesday, 16 December 2020",COVID-19: Our approach to misleading vaccine information,Company,,https://blog.twitter.com/en_us/topics/company/2020/covid19-vaccine,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
128,"Wednesday, 16 December 2020",COVID-19: Our approach to misleading vaccine information,Company,,https://blog.twitter.com/en_us/topics/company/2020/covid19-vaccine,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
129,"Monday, 14 December 2020",Expanding our commitment to brand safety,Product,Jonathan Lewis,https://blog.twitter.com/en_us/topics/product/2020/expanding-our-commitment-to-brand-safety,"['health_disinfo', 'safety']",0,0,0,1,0,0
129,"Monday, 14 December 2020",Expanding our commitment to brand safety,Product,Jonathan Lewis,https://blog.twitter.com/en_us/topics/product/2020/expanding-our-commitment-to-brand-safety,"['health_disinfo', 'safety']",0,0,0,0,0,1
130,"Thursday, 10 December 2020","Inclusion & Diversity Q4 2020: Leadership, transparency & accountability",Company,,https://blog.twitter.com/en_us/topics/company/2020/inclusion-and-diversity-report-q4-2020-leadership-transparency-and-accountability,"['hate_speech', 'political_disinfo']",0,0,1,0,0,0
130,"Thursday, 10 December 2020","Inclusion & Diversity Q4 2020: Leadership, transparency & accountability",Company,,https://blog.twitter.com/en_us/topics/company/2020/inclusion-and-diversity-report-q4-2020-leadership-transparency-and-accountability,"['hate_speech', 'political_disinfo']",0,0,0,0,1,0
131,"Wednesday, 9 December 2020",Crossroads for the Open Internet,Company,Twitter Public Policy,https://blog.twitter.com/en_us/topics/company/2020/crossroads-for-the-open-internet,"['political_disinfo', 'safety']",0,0,0,0,1,0
131,"Wednesday, 9 December 2020",Crossroads for the Open Internet,Company,Twitter Public Policy,https://blog.twitter.com/en_us/topics/company/2020/crossroads-for-the-open-internet,"['political_disinfo', 'safety']",0,0,0,0,0,1
132,"Monday, 7 December 2020",Spending 2020 Together on Twitter,Insights,Tracy McGraw,https://blog.twitter.com/en_us/topics/insights/2020/spending-2020-together-on-twitter,['political_disinfo'],0,0,0,0,1,0
133,"Monday, 7 December 2020", The state of social intelligence: 2020 year in review,Insights,Joe Rice,https://blog.twitter.com/en_us/topics/insights/2020/the-state-of-social-intelligence-2020-year-in-review,[],0,0,0,0,0,0
134,"Thursday, 26 November 2020",Nation states exerting power online - sharing data can guard against it ,Company,Katy Minshall ,https://blog.twitter.com/en_us/topics/company/2020/nation-states-exerting-power-online-sharing-data-can-guard-again,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
134,"Thursday, 26 November 2020",Nation states exerting power online - sharing data can guard against it ,Company,Katy Minshall ,https://blog.twitter.com/en_us/topics/company/2020/nation-states-exerting-power-online-sharing-data-can-guard-again,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
134,"Thursday, 26 November 2020",Nation states exerting power online - sharing data can guard against it ,Company,Katy Minshall ,https://blog.twitter.com/en_us/topics/company/2020/nation-states-exerting-power-online-sharing-data-can-guard-again,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
135,"Tuesday, 24 November 2020",Our work to combat the ‘shadow pandemic’ ,Company,Twitter Public Policy,https://blog.twitter.com/en_us/topics/company/2020/our-work-to-combat-the-shadow-pandemic,"['health_disinfo', 'gender_violence', 'safety']",0,0,0,1,0,0
135,"Tuesday, 24 November 2020",Our work to combat the ‘shadow pandemic’ ,Company,Twitter Public Policy,https://blog.twitter.com/en_us/topics/company/2020/our-work-to-combat-the-shadow-pandemic,"['health_disinfo', 'gender_violence', 'safety']",0,1,0,0,0,0
135,"Tuesday, 24 November 2020",Our work to combat the ‘shadow pandemic’ ,Company,Twitter Public Policy,https://blog.twitter.com/en_us/topics/company/2020/our-work-to-combat-the-shadow-pandemic,"['health_disinfo', 'gender_violence', 'safety']",0,0,0,0,0,1
136,"Tuesday, 24 November 2020",Help us shape our new approach to verification ,Company,X,https://blog.twitter.com/en_us/topics/company/2020/help-us-shape-our-new-approach-to-verification,"['political_disinfo', 'safety']",0,0,0,0,1,0
136,"Tuesday, 24 November 2020",Help us shape our new approach to verification ,Company,X,https://blog.twitter.com/en_us/topics/company/2020/help-us-shape-our-new-approach-to-verification,"['political_disinfo', 'safety']",0,0,0,0,0,1
137,"Friday, 20 November 2020",#TwitterForGood Day — Fall 2020 ,Company,Karl Robillard,https://blog.twitter.com/en_us/topics/company/2020/twitterforgood-day-fall-2020,"['children', 'health_disinfo', 'safety']",1,0,0,0,0,0
137,"Friday, 20 November 2020",#TwitterForGood Day — Fall 2020 ,Company,Karl Robillard,https://blog.twitter.com/en_us/topics/company/2020/twitterforgood-day-fall-2020,"['children', 'health_disinfo', 'safety']",0,0,0,1,0,0
137,"Friday, 20 November 2020",#TwitterForGood Day — Fall 2020 ,Company,Karl Robillard,https://blog.twitter.com/en_us/topics/company/2020/twitterforgood-day-fall-2020,"['children', 'health_disinfo', 'safety']",0,0,0,0,0,1
138,"Tuesday, 17 November 2020",Fleets: a new way to join the conversation,Product,Joshua Harris,https://blog.twitter.com/en_us/topics/product/2020/introducing-fleets-new-way-to-join-the-conversation,['safety'],0,0,0,0,0,1
139,"Thursday, 12 November 2020",An update on our work around the 2020 US Elections,Company,Vijaya Gadde,https://blog.twitter.com/en_us/topics/company/2020/2020-election-update,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
139,"Thursday, 12 November 2020",An update on our work around the 2020 US Elections,Company,Vijaya Gadde,https://blog.twitter.com/en_us/topics/company/2020/2020-election-update,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
139,"Thursday, 12 November 2020",An update on our work around the 2020 US Elections,Company,Vijaya Gadde,https://blog.twitter.com/en_us/topics/company/2020/2020-election-update,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
140,"Wednesday, 11 November 2020","How it started, how it’s going: Performance advertising on Twitter",Product,,https://blog.twitter.com/en_us/topics/product/2020/How-it-started-how-its-going-Performance-advertising-on-Twitter,['safety'],0,0,0,0,0,1
141,"Friday, 30 October 2020",National Disability Employment Awareness Month 2020 with Twitter Able,Company,Justine De Caires,https://blog.twitter.com/en_us/topics/company/2020/national-disability-employment-awareness-month-2020,['health_disinfo'],0,0,0,1,0,0
142,"Wednesday, 28 October 2020",Serving the public conversation during the 2020 New Zealand Election,Company,Kara Hinesley,https://blog.twitter.com/en_us/topics/company/2020/nz-election-2020-wrap-up,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
142,"Wednesday, 28 October 2020",Serving the public conversation during the 2020 New Zealand Election,Company,Kara Hinesley,https://blog.twitter.com/en_us/topics/company/2020/nz-election-2020-wrap-up,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
142,"Wednesday, 28 October 2020",Serving the public conversation during the 2020 New Zealand Election,Company,Kara Hinesley,https://blog.twitter.com/en_us/topics/company/2020/nz-election-2020-wrap-up,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
143,"Thursday, 22 October 2020",Hispanic Heritage Month 2020 recap,Company,Catalina Restrepo,https://blog.twitter.com/en_us/topics/company/2020/hispanic-heritage-month-2020-recap,"['health_disinfo', 'safety']",0,0,0,1,0,0
143,"Thursday, 22 October 2020",Hispanic Heritage Month 2020 recap,Company,Catalina Restrepo,https://blog.twitter.com/en_us/topics/company/2020/hispanic-heritage-month-2020-recap,"['health_disinfo', 'safety']",0,0,0,0,0,1
144,"Thursday, 22 October 2020",How Twitter is helping people vote early,Company,Bridget Coyne,https://blog.twitter.com/en_us/topics/company/2020/vote-early,"['political_disinfo', 'safety']",0,0,0,0,1,0
144,"Thursday, 22 October 2020",How Twitter is helping people vote early,Company,Bridget Coyne,https://blog.twitter.com/en_us/topics/company/2020/vote-early,"['political_disinfo', 'safety']",0,0,0,0,0,1
145,"Tuesday, 13 October 2020",The 2020 New Zealand election is happening on Twitter,Company,Kara Hinesley,https://blog.twitter.com/en_us/topics/company/2020/nz-election-2020,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
