,date,title,topic,author,path,categories,children,gender_violence,hate_speech,health_disinfo,political_disinfo,safety
16,"Thursday, 27 October 2022","Twitter’s curation program with AFP expands to LATAM, Spain, and the US",Product,,https://blog.twitter.com/en_us/topics/product/2022/twitter-curation-program-afp-expands-spain-latam-us,"['health_disinfo', 'political_disinfo']",0,0,0,1,0,0
16,"Thursday, 27 October 2022","Twitter’s curation program with AFP expands to LATAM, Spain, and the US",Product,,https://blog.twitter.com/en_us/topics/product/2022/twitter-curation-program-afp-expands-spain-latam-us,"['health_disinfo', 'political_disinfo']",0,0,0,0,1,0
17,"Wednesday, 26 October 2022",Designing accessible sounds: The story behind our new chirps,Product,,https://blog.twitter.com/en_us/topics/product/2022/designing-accessible-sounds-story-behind-our-new-chirps,[],0,0,0,0,0,0
18,"Friday, 21 October 2022",A meme is born: How people are taking mixed media viral on Twitter,Insights,X,https://blog.twitter.com/en_us/topics/insights/2022/meme-is-born-how-people-are-taking-mixed-media-viral-twitter,[],0,0,0,0,0,0
19,"Thursday, 20 October 2022",Taylor Swift’s “Midnights” reveals how music fans show up on Twitter,Insights,,https://blog.twitter.com/en_us/topics/insights/2022/taylor-swift-midnights-reveals-how-music-fans-show-up-twitter,[],0,0,0,0,0,0
20,"Thursday, 13 October 2022","When natural disasters happen, Twitter can be used to help. Here’s how",Company,X,https://blog.twitter.com/en_us/topics/company/2022/when-natural-disasters-happen-twitter-can-help-heres-how,"['health_disinfo', 'safety']",0,0,0,1,0,0
20,"Thursday, 13 October 2022","When natural disasters happen, Twitter can be used to help. Here’s how",Company,X,https://blog.twitter.com/en_us/topics/company/2022/when-natural-disasters-happen-twitter-can-help-heres-how,"['health_disinfo', 'safety']",0,0,0,0,0,1
21,"Tuesday, 11 October 2022","Inclusion, Diversity, Equity, Accessibility Q3 2022: Accessibility",Company,James Loduca (he/him),https://blog.twitter.com/en_us/topics/company/2022/inclusion-diversity-equity-accessibility-accessibility-October-20222,[],0,0,0,0,0,0
22,"Thursday, 6 October 2022",Helpful Birdwatch notes are now visible to everyone on Twitter in the US,Product,,https://blog.twitter.com/en_us/topics/product/2022/helpful-birdwatch-notes-now-visible-everyone-twitter-us,['health_disinfo'],0,0,0,1,0,0
23,"Wednesday, 5 October 2022","Introducing mixed media: Videos, images, and GIFs together in one Tweet",Product,X,https://blog.twitter.com/en_us/topics/product/2022/introducing-mixed-media-videos-images-gifs-together-one-tweet,[],0,0,0,0,0,0
24,"Thursday, 29 September 2022",New video products make it easier to watch what’s happening on X,Product,X,https://blog.twitter.com/en_us/topics/product/2022/new-video-products-make-easier-watch-what-happening-twitter,[],0,0,0,0,0,0
25,"Wednesday, 28 September 2022",Our approach to the 2022 elections in Brazil and partnership with AFP,Company,,https://blog.twitter.com/en_us/topics/company/2022/our-approach-2022-elections-brazil-new-partnership-afp,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
25,"Wednesday, 28 September 2022",Our approach to the 2022 elections in Brazil and partnership with AFP,Company,,https://blog.twitter.com/en_us/topics/company/2022/our-approach-2022-elections-brazil-new-partnership-afp,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
25,"Wednesday, 28 September 2022",Our approach to the 2022 elections in Brazil and partnership with AFP,Company,,https://blog.twitter.com/en_us/topics/company/2022/our-approach-2022-elections-brazil-new-partnership-afp,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
26,"Thursday, 22 September 2022",The Twitter Moderation Research Consortium is now open to researchers,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2022/twitter-moderation-research-consortium-open-researchers,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
26,"Thursday, 22 September 2022",The Twitter Moderation Research Consortium is now open to researchers,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2022/twitter-moderation-research-consortium-open-researchers,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
26,"Thursday, 22 September 2022",The Twitter Moderation Research Consortium is now open to researchers,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2022/twitter-moderation-research-consortium-open-researchers,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
27,"Tuesday, 20 September 2022",How recommendations help you discover more on Twitter,Product,X,https://blog.twitter.com/en_us/topics/product/2022/how-recommendations-help-discover-more-twitter,['health_disinfo'],0,0,0,1,0,0
28,"Monday, 19 September 2022",We’re making images on Twitter more accessible. Here’s how,Product,,https://blog.twitter.com/en_us/topics/product/2022/making-images-twitter-more-accessible,[],0,0,0,0,0,0
29,"Friday, 16 September 2022",Moments that defined a record-breaking summer on Twitter,Insights,X,https://blog.twitter.com/en_us/topics/insights/2022/moments-that-defined-record-breaking-summer-twitter,['health_disinfo'],0,0,0,1,0,0
30,"Monday, 12 September 2022","How many people come to Twitter for news? As it turns out, a LOT",Insights,Twitter News,https://blog.twitter.com/en_us/topics/insights/2022/how-many-people-come-twitter-for-news,"['health_disinfo', 'political_disinfo']",0,0,0,1,0,0
30,"Monday, 12 September 2022","How many people come to Twitter for news? As it turns out, a LOT",Insights,Twitter News,https://blog.twitter.com/en_us/topics/insights/2022/how-many-people-come-twitter-for-news,"['health_disinfo', 'political_disinfo']",0,0,0,0,1,0
31,"Thursday, 8 September 2022",Serena by the numbers: The most Tweeted about female athlete of all time,Insights,X,https://blog.twitter.com/en_us/topics/insights/2022/serena-numbers-most-tweeted-about-female-athlete-all-time,[],0,0,0,0,0,0
32,"Wednesday, 7 September 2022",Birdwatch is getting a new onboarding process and more visible notes,Product,X,https://blog.twitter.com/en_us/topics/product/2022/birdwatch-getting-new-onboarding-process-more-visible-notes,['health_disinfo'],0,0,0,1,0,0
33,"Thursday, 1 September 2022",This is a test of Twitter’s new Edit Tweet feature. This is only a test,Product,X,https://blog.twitter.com/en_us/topics/product/2022/twitter-new-edit-tweet-feature-only-test,[],0,0,0,0,0,0
34,"Tuesday, 30 August 2022","Introducing Twitter Circle, a new way to Tweet to a smaller crowd",Product,X,https://blog.twitter.com/en_us/topics/product/2022/introducing-twitter-circle-new-way-tweet-smaller-crowd,['safety'],0,0,0,0,0,1
35,"Thursday, 25 August 2022",Listen up: Podcasts are coming to Twitter,Product,X,https://blog.twitter.com/en_us/topics/product/2022/listen-up-podcasts-are-coming-twitter,[],0,0,0,0,0,0
36,"Thursday, 11 August 2022", Our approach to the 2022 US midterms,Company,X,https://blog.twitter.com/en_us/topics/company/2022/-our-approach-to-the-2022-us-midterms,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
36,"Thursday, 11 August 2022", Our approach to the 2022 US midterms,Company,X,https://blog.twitter.com/en_us/topics/company/2022/-our-approach-to-the-2022-us-midterms,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
36,"Thursday, 11 August 2022", Our approach to the 2022 US midterms,Company,X,https://blog.twitter.com/en_us/topics/company/2022/-our-approach-to-the-2022-us-midterms,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
37,"Wednesday, 3 August 2022",The 2022 Kenyan General Election is happening on Twitter,Company,Emmanuel Lubanzadio,https://blog.twitter.com/en_us/topics/company/2022/the-2022-kenyan-general-election-is-happening-on-twitter,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
37,"Wednesday, 3 August 2022",The 2022 Kenyan General Election is happening on Twitter,Company,Emmanuel Lubanzadio,https://blog.twitter.com/en_us/topics/company/2022/the-2022-kenyan-general-election-is-happening-on-twitter,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
37,"Wednesday, 3 August 2022",The 2022 Kenyan General Election is happening on Twitter,Company,Emmanuel Lubanzadio,https://blog.twitter.com/en_us/topics/company/2022/the-2022-kenyan-general-election-is-happening-on-twitter,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
38,"Thursday, 28 July 2022","Sharing our latest transparency update, marking decade long commitment",Company,,https://blog.twitter.com/en_us/topics/company/2022/ttr-20,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
38,"Thursday, 28 July 2022","Sharing our latest transparency update, marking decade long commitment",Company,,https://blog.twitter.com/en_us/topics/company/2022/ttr-20,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
38,"Thursday, 28 July 2022","Sharing our latest transparency update, marking decade long commitment",Company,,https://blog.twitter.com/en_us/topics/company/2022/ttr-20,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
